"gene","clade","n_sites","mean_score","conserved_sites","accelerated_sites","pct_conserved","pct_accelerated"
"OG0056145_allintron","A1",588,-0.00303717425556178,0,3,0,0.510204081632653
"OG0056145_allintron","A2",588,-0.150129619755178,0,20,0,3.40136054421769
"OG0056145_allintron","B",588,0.128286772203338,0,2,0,0.340136054421769
"OG0056145_allintron","C",588,-0.0272754397871768,0,3,0,0.510204081632653
"OG0056145_allintron","D",588,-0.0463329899700946,0,13,0,2.2108843537415
"OG0056145_allintron","E",588,-0.0231559538218415,0,18,0,3.06122448979592
"OG0056145_allintron","Outgroup",588,-0.594791065855608,0,192,0,32.6530612244898
"OG0056235_allintron","A1",2442,0.00751256578028555,0,3,0,0.122850122850123
"OG0056235_allintron","A2",2442,-0.0646547251387414,0,26,0,1.06470106470106
"OG0056235_allintron","B",2442,0.113330781463824,0,8,0,0.327600327600328
"OG0056235_allintron","C",2442,-0.010972519572306,0,18,0,0.737100737100737
"OG0056235_allintron","D",2442,-0.0264008948800014,0,9,0,0.368550368550369
"OG0056235_allintron","E",2442,-0.0266326399219778,0,57,0,2.33415233415233
"OG0056235_allintron","Outgroup",2442,0.0432700146112123,0,0,0,0
"OG0061528_allintron","A1",486,0.000904847405500911,0,1,0,0.205761316872428
"OG0061528_allintron","A2",486,0.0524368455879151,0,0,0,0
"OG0061528_allintron","B",486,-0.401276663396567,0,111,0,22.8395061728395
"OG0061528_allintron","C",486,0.107604874016437,0,5,0,1.02880658436214
"OG0061528_allintron","D",486,0.227642322987142,0,2,0,0.411522633744856
"OG0061528_allintron","E",486,-0.283710784932868,0,54,0,11.1111111111111
"OG0061528_allintron","Outgroup",486,0.101676330091199,0,1,0,0.205761316872428
"OG0061672_allintron","A1",1020,-0.0777296795581222,0,12,0,1.17647058823529
"OG0061672_allintron","A2",1020,-0.0522385187062706,0,5,0,0.490196078431373
"OG0061672_allintron","B",1020,-0.0502197944254492,0,13,0,1.27450980392157
"OG0061672_allintron","C",1020,-0.0117143730108006,0,7,0,0.686274509803922
"OG0061672_allintron","D",1020,-0.00115856536123154,0,3,0,0.294117647058824
"OG0061672_allintron","E",1020,-0.0998984107614152,0,23,0,2.25490196078431
"OG0061672_allintron","Outgroup",1020,-0.182046834483282,0,22,0,2.15686274509804
"OG0061704_allintron","A1",1482,0.0117421712241845,0,0,0,0
"OG0061704_allintron","A2",1482,0.0488347316200405,0,3,0,0.202429149797571
"OG0061704_allintron","B",1482,0.119599667674858,0,17,0,1.14709851551957
"OG0061704_allintron","C",1482,0.109080396587957,0,10,0,0.67476383265857
"OG0061704_allintron","D",1482,0.219717575118059,0,4,0,0.269905533063428
"OG0061704_allintron","E",1482,-0.0906062149018233,0,50,0,3.37381916329285
"OG0061704_allintron","Outgroup",1482,-0.169655022409958,0,68,0,4.58839406207827
"OG0066716_allintron","A1",408,0.0187496922860089,0,0,0,0
"OG0066716_allintron","A2",408,0.037785706590934,0,0,0,0
"OG0066716_allintron","B",408,0.114925096061671,0,0,0,0
